manufacturer,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
audi,A1,2017,12500,Manual,15735,Petrol,150,55.4,1.4
audi,A6,2016,16500,Automatic,36203,Diesel,20,64.2,2.0
audi,A1,2016,11000,Manual,29946,Petrol,30,55.4,1.4
audi,A4,2017,16800,Automatic,25952,Diesel,145,67.3,2.0
audi,A3,2019,17300,Manual,1998,Petrol,145,49.6,1.0
audi,A1,2016,13900,Automatic,32260,Petrol,30,58.9,1.4
audi,A6,2016,13250,Automatic,76788,Diesel,30,61.4,2.0
audi,A4,2016,11750,Manual,75185,Diesel,20,70.6,2.0
audi,A3,2015,10200,Manual,46112,Petrol,20,60.1,1.4
audi,A1,2016,12000,Manual,22451,Petrol,30,55.4,1.4
audi,A3,2017,16100,Manual,28955,Petrol,145,58.9,1.4
audi,A6,2016,16500,Automatic,52198,Diesel,125,57.6,2.0
audi,Q3,2016,17000,Manual,44915,Diesel,145,52.3,2.0
audi,A3,2017,16400,Manual,21695,Petrol,30,58.9,1.4
audi,A6,2015,15400,Manual,47348,Diesel,30,61.4,2.0
audi,A3,2017,14500,Automatic,26156,Petrol,145,58.9,1.4
audi,Q3,2016,15700,Automatic,28396,Diesel,145,53.3,2.0
audi,A3,2014,13900,Automatic,30516,Petrol,30,56.5,1.4
audi,Q5,2016,19000,Automatic,37652,Diesel,200,47.1,2.0
audi,Q3,2014,17000,Manual,34110,Petrol,145,47.9,1.4
audi,A5,2017,17300,Automatic,37100,Diesel,145,67.3,2.0
audi,Q5,2016,20200,Automatic,23714,Diesel,200,47.1,2.0
audi,A5,2017,22500,Automatic,21649,Diesel,145,58.9,3.0
audi,A6,2015,17500,Automatic,62748,Diesel,150,53.3,3.0
audi,Q5,2016,20000,Automatic,23789,Diesel,200,47.1,2.0
audi,A4,2017,18500,Automatic,17418,Diesel,145,62.8,2.0
audi,A5,2017,19500,Automatic,33300,Diesel,145,61.4,2.0
audi,A1,2018,15800,Manual,10793,Petrol,145,56.5,1.4
audi,A4,2018,17200,Automatic,25138,Diesel,145,70.6,2.0
audi,A6,2015,14000,Manual,61176,Diesel,30,62.8,2.0
audi,A1,2015,9500,Automatic,54754,Diesel,0,76.3,1.6
audi,Q3,2017,16500,Manual,21369,Petrol,125,51.4,1.4
audi,Q3,2014,15000,Automatic,39190,Diesel,205,47.9,2.0
audi,Q3,2017,16000,Automatic,47482,Petrol,150,47.9,1.4
audi,Q3,2016,16900,Automatic,40501,Diesel,150,51.4,2.0
audi,Q3,2014,12300,Automatic,43195,Diesel,200,47.9,2.0
audi,A1,2017,10800,Manual,31447,Petrol,145,67.3,1.0
audi,A6,2016,19400,Automatic,34030,Diesel,125,58.9,2.0
